Origin,Destination,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Shipment_Duration,Actual_Duration
7,2,0,411,0,1,1,5
3,0,1,1625,0,2,5,6
9,5,1,665,0,1,2,2
0,3,2,1147,0,1,3,3
3,6,3,971,0,0,3,5
2,8,3,1808,2,2,6,8
5,8,0,1509,2,2,5,7
5,9,1,734,0,1,2,2
8,9,3,494,1,1,1,3
2,8,2,1956,0,2,6,7
0,3,2,1575,0,1,5,7
0,5,1,977,0,1,3,3
4,5,0,1497,0,2,4,9
3,7,1,285,0,1,1,1
2,8,3,984,0,1,3,3
5,3,0,1881,0,2,6,7
3,9,0,299,0,0,1,6
4,9,0,255,0,1,1,1
4,5,2,1502,0,1,5,7
7,1,0,297,1,2,1,4
1,0,3,1246,0,2,4,5
4,9,0,1237,0,1,4,4
6,1,0,330,1,1,1,3
3,9,0,1114,0,1,3,3
9,0,0,1719,1,0,5,9
5,4,2,1978,0,2,6,7
7,5,0,931,0,0,3,8
9,8,2,794,0,1,2,7
7,5,2,248,0,2,1,7
6,7,3,1063,1,0,3,7
2,7,3,1975,0,1,6,6
1,9,1,1737,1,1,5,7
5,4,0,1076,0,0,3,5
3,8,1,540,2,1,1,2
3,7,3,222,2,1,1,2
6,5,2,593,0,1,1,1
2,9,3,1298,0,1,4,4
4,6,0,1357,0,1,4,9
5,0,0,1834,1,0,6,10
0,7,0,637,3,1,2,5
8,9,3,1960,0,1,6,6
9,6,0,587,0,0,3,1
3,8,0,1293,0,1,4,4
3,7,3,1857,1,2,6,9
2,3,3,1175,2,1,3,4
1,4,1,989,0,1,3,7
4,7,3,569,2,1,1,2
1,4,1,575,2,1,1,2
7,0,3,779,0,1,2,2
6,5,1,1532,0,1,5,9
0,9,3,526,2,0,1,7
9,5,0,587,0,0,1,3
6,3,0,1388,0,1,4,4
2,5,2,804,0,2,7,2
9,3,2,208,0,1,1,1
6,9,1,482,2,1,1,7
1,9,3,968,0,1,3,3
7,4,1,1309,2,1,4,5
5,2,0,1002,0,1,3,3
8,1,2,1306,0,0,4,6
6,1,1,234,0,1,1,1
5,1,2,575,2,1,1,2
6,7,0,1706,0,2,5,9
4,1,0,699,0,1,2,2
4,0,0,1031,0,0,3,5
5,9,3,656,0,1,2,2
0,1,3,1017,0,2,3,4
6,8,1,1356,2,2,4,9
9,8,1,377,1,2,1,4
9,2,1,423,0,1,1,1
8,0,1,1689,0,2,5,9
7,5,0,550,3,0,1,6
1,3,1,589,0,0,1,5
4,0,1,1590,1,2,5,8
1,6,3,1081,2,2,3,5
8,2,1,474,1,2,1,4
0,4,0,1589,0,1,5,9
7,2,2,723,0,2,2,3
0,7,0,1296,0,2,4,5
8,6,1,689,3,2,2,11
3,7,0,526,0,0,1,5
5,1,2,1290,0,0,4,6
6,5,1,1002,0,0,5,3
8,9,0,1768,0,0,5,7
8,9,2,273,2,1,1,4
9,6,0,318,0,2,1,2
5,7,3,457,1,2,1,4
7,2,2,593,2,2,1,3
8,7,2,655,0,2,2,3
7,4,3,499,0,1,1,3
7,3,0,1213,0,1,4,4
4,6,2,1720,0,1,5,10
7,6,1,255,0,1,1,1
6,8,0,693,0,1,2,2
4,2,0,1597,2,1,5,6
4,9,1,1968,0,2,6,7
8,5,1,1476,0,1,4,4
7,3,0,240,0,2,1,6
3,0,0,798,0,1,2,2
0,2,1,278,0,2,1,2
0,3,0,913,0,1,3,3
1,3,3,846,0,1,2,2
7,8,2,1346,2,2,6,4
4,0,1,438,1,0,1,10
9,7,3,519,0,1,1,4
5,0,0,1244,1,2,4,7
4,2,2,970,0,1,3,3
6,7,1,1468,0,2,4,5
5,9,3,671,0,0,2,4
4,3,3,1104,0,2,3,4
7,3,1,1007,0,0,3,8
0,8,1,230,0,1,1,1
4,3,0,355,1,1,1,3
4,9,0,1894,2,1,6,11
9,0,2,1133,0,1,3,3
6,4,3,1202,2,1,4,5
6,1,2,1489,0,1,4,4
2,3,2,378,2,1,1,2
3,2,3,1681,0,1,5,5
3,1,0,1686,0,1,5,5
0,6,2,847,0,0,2,4
5,9,0,1967,2,2,6,13
3,4,1,1292,0,1,4,9
0,1,3,1534,0,0,5,12
3,9,1,954,0,1,3,5
4,0,3,1447,2,2,4,6
4,7,0,1669,0,2,5,8
1,5,0,1502,3,1,5,8
1,6,2,429,0,2,1,2
6,8,0,645,0,1,2,2
9,1,1,1135,0,2,3,4
5,8,3,451,0,2,1,4
5,7,3,903,0,1,3,5
8,1,3,1203,0,2,4,5
4,7,2,1680,0,2,5,6
0,3,1,1719,0,2,6,5
7,3,2,1071,0,2,3,4
7,0,3,1727,1,2,5,8
2,5,2,840,1,0,2,6
5,3,1,1726,2,1,5,6
7,9,0,990,0,1,3,3
3,0,0,1820,1,1,6,11
6,7,1,1567,2,0,5,8
1,0,3,851,0,2,2,3
9,3,1,325,0,1,1,1
8,9,0,1079,0,1,3,3
0,8,3,782,2,1,2,6
8,1,0,468,1,1,1,7
8,2,0,1472,2,1,4,5
3,9,1,914,0,0,3,5
5,4,3,696,0,1,2,2
9,7,1,571,2,1,1,7
7,3,2,727,0,2,2,3
0,6,1,1735,1,1,5,7
1,0,0,1987,3,1,6,9
5,3,3,629,2,1,2,3
6,0,2,1744,2,1,5,9
7,6,0,1541,3,1,5,8
7,0,0,216,1,2,1,4
4,6,2,717,0,1,2,2
5,1,3,410,2,1,1,2
2,1,2,731,1,1,2,4
8,1,2,1188,0,1,3,3
1,6,3,1817,0,2,6,7
6,5,0,367,0,1,1,1
1,4,3,1297,0,1,4,4
7,3,3,1875,0,1,6,6
4,8,0,891,1,2,2,5
7,0,3,1447,0,1,4,4
5,8,2,1997,0,1,6,9
6,9,0,1150,0,2,3,4
1,2,2,1774,0,2,5,9
0,2,0,1389,1,2,4,7
4,6,2,1476,0,1,4,4
6,9,3,1453,0,2,4,5
1,2,3,1293,0,1,4,8
7,9,1,1684,0,1,5,5
9,3,2,1106,0,2,3,4
3,4,3,438,0,1,1,1
5,3,1,1455,0,2,4,5
9,2,0,1093,3,1,3,6
8,0,2,1446,1,0,4,11
8,0,1,455,0,2,1,2
3,7,1,1944,0,2,6,12
6,1,2,792,0,0,2,7
0,7,1,1690,2,1,5,6
2,8,0,1103,0,2,3,4
6,7,0,324,0,1,1,1
7,3,3,1667,1,2,5,8
8,9,1,1215,0,1,4,4
6,3,0,922,0,1,3,3
1,6,2,400,0,1,1,1
8,0,1,1109,3,1,3,11
1,3,2,1905,2,2,6,8
3,9,1,537,1,1,1,8
3,0,0,407,2,1,1,2
0,4,0,537,0,0,1,3
2,9,3,1756,1,0,5,9
9,2,2,1995,0,2,6,7
8,2,3,1744,0,1,5,5
0,2,0,379,0,2,1,2
5,1,3,346,0,1,1,1
9,7,1,1800,0,2,6,7
8,5,0,1507,0,0,5,10
9,6,1,595,0,2,1,7
0,9,1,1694,1,0,5,13
2,5,3,571,2,1,1,7
7,5,0,766,0,1,2,2
7,6,3,1056,0,1,3,3
5,3,2,1812,0,2,6,9
2,9,3,1265,0,1,4,4
6,3,1,783,0,2,2,7
7,8,0,571,0,1,1,1
9,0,0,1623,0,0,5,7
8,0,1,299,0,1,1,3
1,9,3,516,1,2,1,4
6,1,0,1170,2,1,3,7
2,6,2,1483,0,1,4,4
9,6,0,206,0,1,1,1
0,9,3,1722,2,1,5,8
8,9,0,1756,0,0,5,7
3,8,3,1361,0,1,4,4
4,5,3,600,0,1,2,2
7,8,3,1944,0,1,6,6
6,2,0,1064,0,2,3,4
6,7,0,330,0,1,1,1
4,7,1,1622,1,2,5,8
9,5,2,1255,0,1,4,4
8,5,2,544,0,1,1,1
8,6,3,911,0,1,3,7
7,2,2,1613,3,0,5,14
8,6,2,1291,0,2,4,5
1,4,2,1488,2,1,4,9
7,6,3,1255,1,2,4,7
7,3,0,732,0,2,2,6
6,0,3,1039,3,1,3,6
8,2,0,1780,2,1,5,6
5,1,2,285,0,2,1,2
1,4,2,1279,0,2,4,5
2,7,1,219,0,2,1,2
5,7,1,1511,0,1,5,8
6,4,3,1495,0,0,4,6
8,5,0,1629,1,1,5,10
8,6,1,991,0,1,3,3
5,7,0,413,0,2,1,7
5,9,1,1154,0,1,3,3
1,7,2,554,0,1,1,6
9,6,1,1657,0,2,5,6
2,4,1,715,3,2,2,6
4,8,0,719,0,0,2,4
6,5,0,1239,0,2,4,5
4,9,3,337,0,2,1,2
7,3,1,1376,1,2,4,7
8,1,0,1829,0,2,6,7
5,1,1,783,1,1,2,4
7,3,0,957,0,1,3,3
7,4,2,1311,0,1,4,7
8,7,0,1526,0,1,5,5
8,2,1,875,2,1,2,3
5,2,2,1011,2,2,3,10
8,0,0,510,0,1,1,1
6,1,2,443,0,1,1,1
3,7,2,1117,0,2,3,4
4,2,2,643,1,1,2,4
5,1,1,1113,0,1,3,3
6,0,3,822,0,2,2,3
8,5,1,1839,0,1,6,6
0,7,2,1699,0,2,5,6
0,1,0,1236,0,1,4,4
0,5,1,959,1,2,3,6
5,1,0,1883,0,2,6,7
4,9,1,424,0,2,1,2
8,5,3,587,0,2,1,2
3,6,3,518,0,1,1,1
0,5,3,914,0,1,3,3
9,5,2,1517,2,1,5,8
4,9,1,1591,0,2,5,6
3,5,1,617,2,2,2,4
5,6,2,357,2,1,1,2
2,9,3,1620,0,0,5,7
5,6,2,273,1,0,1,5
5,6,3,1576,3,1,5,8
9,3,0,278,0,1,1,1
1,7,2,1461,0,2,4,5
7,6,0,415,0,1,1,1
5,1,1,977,1,1,3,5
1,8,0,1263,0,1,4,8
2,6,3,1971,0,2,6,7
5,1,1,1938,0,2,6,7
9,8,1,1925,2,2,6,8
2,7,1,1251,0,1,4,4
0,5,3,1062,2,1,3,7
8,4,2,443,0,2,1,2
1,9,3,638,2,1,2,3
7,0,0,1150,1,2,3,6
7,5,3,353,0,1,1,1
1,8,0,841,2,2,2,4
7,8,2,411,1,2,1,4
2,1,1,709,2,1,2,3
7,5,0,724,0,0,2,8
6,8,1,869,0,0,2,6
8,1,3,1305,2,2,4,10
8,2,1,1824,2,2,6,8
5,7,2,321,1,1,3,1
3,8,2,1092,0,2,3,7
7,4,3,1089,0,1,3,3
0,6,1,1553,1,0,5,9
5,1,3,1837,0,1,6,10
3,1,1,2000,0,0,6,8
3,8,0,891,0,1,2,6
3,5,2,1096,0,1,3,3
4,7,3,766,0,2,2,3
7,9,1,1708,0,1,5,8
0,6,3,1502,1,0,5,9
7,6,3,1059,1,1,3,5
9,8,0,1450,0,1,4,9
3,0,1,599,2,1,1,2
6,9,2,1285,0,1,4,8
5,9,1,948,1,1,3,5
6,4,0,1825,0,1,6,8
7,9,3,1712,0,1,5,5
2,0,3,1727,0,1,5,5
8,6,0,476,1,1,1,3
5,9,2,673,1,1,2,6
8,7,2,1743,0,1,5,5
5,1,1,1382,0,0,4,6
4,7,1,1201,0,0,4,6
8,5,3,667,2,1,2,3
8,6,2,1136,1,1,3,7
2,7,1,1441,0,1,4,4
7,3,2,825,0,2,2,3
0,8,2,957,0,1,3,3
3,7,3,429,0,2,1,2
9,5,3,1181,0,0,3,8
9,6,3,1064,1,1,3,5
8,5,3,1713,0,0,5,7
4,7,0,691,0,2,2,3
0,9,3,425,0,2,1,2
7,1,3,1619,2,1,5,6
5,4,2,937,0,1,3,5
9,3,3,986,1,0,3,7
5,1,3,322,0,1,1,1
2,7,3,1257,0,2,5,4
2,5,0,696,2,1,2,3
4,1,0,1852,0,1,6,6
0,2,2,1865,0,1,6,6
2,8,1,1705,0,2,5,6
7,6,3,679,0,2,2,3
2,6,3,685,0,2,5,2
9,3,0,344,0,1,1,1
4,5,0,1538,0,1,5,5
0,7,0,1108,0,1,3,6
2,6,2,530,2,2,1,3
6,9,3,1578,3,2,5,9
4,9,3,639,1,0,2,6
7,5,3,982,2,2,3,10
9,1,3,639,0,1,2,2
6,1,2,950,0,1,3,3
7,3,3,1658,1,1,5,9
9,5,0,1470,0,2,4,5
0,9,0,1423,0,1,4,7
7,6,1,753,2,2,2,4
5,6,0,1475,0,2,4,5
7,4,1,1861,2,2,6,8
1,8,2,592,1,1,1,8
6,0,3,1643,0,1,5,5
0,8,1,1628,1,1,5,7
9,2,3,445,0,1,1,1
1,2,0,1583,0,2,5,6
6,8,0,1790,0,1,5,5
1,7,0,1216,0,1,4,4
5,1,2,1182,0,1,3,7
0,8,1,1354,0,1,4,4
8,2,1,763,0,2,2,3
6,2,3,954,2,1,3,4
4,1,2,1794,0,2,5,6
5,6,3,1636,0,1,5,5
7,2,2,1879,1,2,6,9
0,3,1,1169,3,2,3,7
2,8,3,371,0,2,1,7
4,3,1,1782,0,1,5,5
0,4,3,1019,0,2,3,6
6,0,2,1831,0,2,6,10
1,7,1,241,2,1,1,2
9,5,3,1109,0,1,3,3
4,9,0,910,0,0,3,5
2,6,2,426,3,2,1,5
6,7,3,860,0,1,2,2
2,8,2,1789,2,2,5,7
6,1,0,1746,0,0,5,7
6,0,2,1402,2,1,4,5
6,5,2,448,1,2,1,4
4,6,1,472,0,1,1,1
6,0,3,1029,3,0,3,8
3,1,2,569,0,2,1,4
3,0,3,1207,1,1,4,6
6,3,1,1637,2,1,5,6
4,5,1,858,0,1,2,2
3,8,2,1965,0,2,6,11
5,7,2,1953,2,2,6,10
3,6,0,1461,0,0,4,6
4,5,0,943,0,1,3,3
3,5,3,1417,0,2,4,5
8,5,3,1895,1,1,6,8
5,9,1,1496,0,1,4,4
4,9,2,1568,2,0,5,8
7,4,3,1765,0,1,5,5
1,3,3,266,2,1,1,2
1,6,0,337,2,2,1,3
0,1,3,516,2,0,1,4
4,8,2,1263,0,2,4,5
7,2,1,1096,0,1,3,3
8,3,3,994,0,2,3,9
6,2,1,1629,0,2,5,6
4,1,3,521,0,1,1,1
7,1,3,715,0,2,2,5
8,0,0,1539,0,1,5,5
4,0,2,988,0,2,3,4
7,5,1,1155,0,2,3,4
6,9,2,1683,0,2,5,6
5,0,1,1287,2,1,4,5
3,0,2,390,2,1,1,2
0,2,2,645,2,1,2,3
5,9,2,583,0,1,1,1
8,5,0,603,2,2,2,4
4,0,0,1461,1,2,4,10
2,5,0,1407,2,2,4,6
9,4,1,538,0,2,1,2
2,0,2,1552,2,1,5,10
0,6,3,782,0,0,2,8
6,7,2,442,0,1,1,3
6,1,2,927,0,1,3,3
3,0,2,1623,0,1,5,5
9,0,1,1617,0,0,5,7
2,7,0,209,0,1,1,1
6,5,3,875,0,2,2,3
9,8,1,1143,2,1,3,7
1,5,3,1298,0,2,4,5
8,2,2,1379,3,2,4,8
5,8,0,890,0,2,2,3
5,4,1,317,0,2,1,6
7,3,3,1753,1,2,5,8
5,8,3,1471,0,0,4,6
0,2,1,1846,0,1,6,6
2,7,1,597,0,1,1,1
9,7,0,1580,1,2,5,8
9,0,3,925,0,1,3,3
6,0,3,438,0,1,1,1
8,4,2,493,0,2,1,2
6,2,3,930,2,1,3,6
8,9,3,1770,3,2,5,11
7,2,2,390,1,1,1,3
3,1,2,1518,0,1,5,5
3,9,1,439,0,1,1,1
1,6,1,589,0,0,1,7
0,6,2,309,0,0,3,1
3,4,1,1718,1,1,5,7
9,8,2,961,0,1,3,3
5,7,0,1320,0,2,4,8
6,7,0,1561,0,1,5,10
5,1,1,1963,0,1,6,10
6,8,2,1701,0,1,5,5
0,2,1,1240,2,2,4,6
5,8,1,1240,0,0,4,10
4,9,3,292,0,0,1,3
5,3,0,1114,0,1,3,3
6,2,0,502,0,0,1,3
3,7,0,604,0,1,2,2
7,8,2,1623,2,2,5,11
8,1,1,1987,1,2,6,14
8,5,2,774,0,1,2,7
5,6,2,1592,2,0,5,8
2,1,1,1284,3,2,4,8
2,0,1,970,0,1,3,3
2,7,0,214,1,1,1,3
2,9,3,739,0,1,2,2
4,9,3,1024,2,1,3,6
8,1,0,1742,2,1,5,6
3,7,2,1676,2,1,5,6
6,1,0,352,0,0,1,3
3,5,2,737,0,1,2,2
1,8,2,1959,0,0,6,12
8,3,2,1929,0,1,6,6
1,9,2,448,0,2,1,2
8,1,1,1549,0,2,5,6
2,5,2,1855,0,1,6,9
8,3,0,1947,0,1,6,6
7,3,1,1238,0,0,4,6
1,5,2,321,0,1,1,1
8,6,1,273,0,1,1,1
4,7,3,1631,0,1,5,5
6,0,2,1117,2,0,3,6
8,1,3,844,0,1,2,2
8,5,3,1286,0,2,4,5
2,6,0,1610,0,1,5,5
0,2,3,848,0,1,2,2
1,2,0,1989,0,1,6,6
7,5,3,1820,0,2,6,7
5,9,2,1792,1,1,5,9
3,9,3,1141,0,2,3,4
6,3,3,1968,0,1,6,6
6,3,1,454,0,1,1,1
9,7,2,1591,1,2,5,8
4,8,1,282,0,1,1,3
9,5,2,980,0,0,3,7
4,8,1,1642,2,1,5,6
6,8,3,572,0,2,1,2
6,0,1,1601,0,2,5,6
7,0,0,949,1,0,3,9
1,4,1,910,0,1,3,6
6,4,0,1489,0,0,4,6
5,7,2,1075,2,1,3,4
4,7,1,496,0,1,1,1
0,6,2,1267,1,1,4,10
3,9,3,1516,0,0,5,7
4,3,2,1666,0,0,5,7
7,8,2,449,0,1,1,4
9,3,3,1922,0,1,6,6
7,4,2,1359,0,1,4,4
8,2,0,1119,0,2,3,4
0,9,1,1148,0,2,3,4
6,2,0,951,3,2,3,7
7,6,3,400,0,2,1,7
3,2,0,309,0,1,1,5
3,8,1,1532,0,1,5,5
4,8,3,1772,0,2,5,6
0,8,2,1395,2,1,4,5
0,2,3,1426,0,1,4,4
2,3,2,1431,0,0,4,9
9,6,1,1746,0,0,5,7
1,4,3,868,0,1,2,2
4,6,3,1864,1,1,6,8
1,3,0,1772,0,1,5,5
3,4,3,437,0,2,1,2
2,4,3,712,1,2,2,5
5,2,0,1155,0,1,3,3
6,2,1,1543,1,1,5,7
0,8,3,1835,3,1,6,9
2,3,3,1075,1,1,3,10
1,3,3,661,0,1,2,2
1,3,1,1429,0,1,4,4
9,5,3,997,2,1,3,4
1,3,2,1542,0,2,5,6
3,0,1,1411,0,1,4,4
2,3,3,632,2,0,2,9
6,5,0,441,0,1,1,1
8,6,0,1290,0,1,4,4
4,7,1,1879,0,0,6,11
1,9,2,1936,3,2,6,12
6,3,0,1713,0,1,5,5
5,6,0,1252,2,1,4,5
7,4,1,1411,1,2,4,10
3,6,3,662,3,2,2,6
5,6,2,679,0,1,2,2
6,2,2,1853,0,1,6,9
2,0,1,390,0,2,1,2
5,3,0,1281,0,0,4,8
0,5,1,499,3,0,1,6
0,6,0,1888,0,2,6,11
8,9,3,1488,0,2,4,10
0,6,3,1271,0,0,4,6
2,9,2,1060,2,1,3,8
9,0,3,1289,0,1,4,4
9,5,2,1678,1,1,5,10
6,5,1,1922,0,2,6,7
2,6,1,1119,1,1,3,5
2,9,1,303,0,1,1,1
9,6,2,1736,0,1,5,9
9,4,3,1308,1,1,4,10
4,0,1,320,0,1,1,6
6,2,0,686,0,1,2,4
7,5,0,1697,3,2,5,11
3,7,1,669,0,1,2,2
3,9,1,670,0,1,2,2
3,4,0,638,0,0,2,4
8,1,1,1266,2,1,4,5
2,9,2,884,0,0,2,9
5,6,2,1353,0,1,4,6
9,7,0,551,2,2,1,3
6,8,2,1635,0,2,5,6
8,1,1,1068,0,2,3,8
3,9,2,491,1,1,1,3
9,8,0,230,2,1,1,2
2,5,0,572,0,2,1,2
4,2,0,1099,0,2,3,4
9,0,1,731,0,1,2,2
4,2,1,203,0,0,1,3
6,0,2,1603,0,2,5,6
7,4,1,243,0,2,1,2
6,4,1,1225,0,2,4,5
7,1,0,1104,2,1,3,4
6,5,0,1350,0,2,4,5
5,1,0,365,2,2,1,3
1,8,0,1395,0,1,4,4
4,3,0,1572,0,2,5,6
0,7,2,698,0,1,2,2
4,8,1,1684,0,2,5,6
7,2,3,1946,0,2,6,7
9,3,0,973,0,2,3,7
8,1,2,258,0,1,1,1
6,0,3,726,0,1,2,5
1,8,2,457,0,2,1,5
5,7,2,1860,1,2,6,14
0,2,3,839,0,1,2,7
4,5,1,1308,2,1,4,5
0,9,2,1767,0,1,5,5
1,0,1,1456,0,2,4,5
1,5,1,1229,0,2,4,5
3,8,0,1491,2,0,4,7
6,1,3,703,2,2,2,4
2,1,0,1054,0,2,3,4
6,4,3,732,0,2,2,3
8,2,0,874,2,1,2,3
5,0,0,876,0,1,2,2
8,4,1,1724,0,0,5,7
9,0,0,1374,0,1,4,7
9,4,2,1954,1,1,6,8
2,4,3,827,0,1,2,2
0,2,3,648,2,2,2,4
1,9,2,855,1,2,2,5
6,2,2,1151,0,2,3,4
8,0,1,1564,1,0,5,9
4,1,1,922,0,1,3,3
9,2,0,814,1,0,2,11
5,2,1,1691,0,1,5,9
6,9,2,1819,0,1,6,6
5,0,3,1069,1,2,3,6
5,3,3,712,3,2,2,6
0,5,1,1562,0,1,5,5
2,4,1,1271,0,1,4,4
3,9,2,960,1,2,3,8
6,8,2,1924,0,1,6,6
0,7,2,1989,0,1,6,6
1,2,2,1516,0,2,5,6
4,0,2,1940,1,2,6,9
8,1,2,1060,0,0,3,5
1,6,2,867,0,2,3,2
8,5,1,1031,0,2,3,4
6,7,2,1972,0,1,6,11
3,5,1,1957,2,1,6,7
0,1,3,1993,2,2,6,8
7,8,3,429,2,1,1,6
6,4,0,1755,3,1,5,8
7,4,1,1570,2,1,5,6
8,0,1,334,0,1,1,1
1,8,0,1877,2,1,6,7
7,1,0,1615,1,1,5,7
1,0,3,1885,3,2,6,10
9,4,2,1206,2,2,4,6
6,9,2,1303,0,1,4,4
6,4,0,1150,0,1,3,3
